Date,VSt,VS,VSp,GRt,GR,GRp,TIt,TI,TIp,rCHt,rCH,rCHp,CHt,CH,CHp,Rhm,Rh,Rhp
2004-11-15,3760,3211,0.855,1960,1779,0.908,1220,1097,0.896,1600,1428,0.893,8540,7515,0.88,842,562,0.67
2004-11-22,3760,3106,0.827,1960,1743,0.889,1220,1047,0.855,1600,1382,0.864,8540,7278,0.852,837,556,0.66
2004-11-29,3750,2985,0.795,1960,1696,0.865,1220,997,0.814,1600,1338,0.836,8540,7016,0.822,833,574,0.69
2004-12-06,3760,2847,0.758,1960,1623,0.828,1220,922,0.753,1600,1287,0.804,8540,6679,0.782,828,521,0.63
2004-12-13,3760,2686,0.715,1960,1524,0.778,1230,847,0.691,1600,1218,0.761,8540,6275,0.735,823,497,0.6
2004-12-20,3760,2540,0.676,1960,1438,0.734,1220,768,0.627,1600,1146,0.716,8540,5892,0.69,814,658,0.81
2004-12-27,3760,2456,0.654,1960,1407,0.718,1220,731,0.597,1600,1143,0.714,8540,5737,0.672,804,621,0.77
2014-01-06,4000,2227,0.557,1980,1264,0.638,1230,850,0.691,1590,904,0.569,8800,5245,0.596,790,966,1.22
2014-01-13,4000,2146,0.537,1980,1229,0.621,1230,818,0.665,1590,896,0.564,8790,5089,0.579,801,769,0.96
2014-01-20,3980,2031,0.51,1980,1157,0.584,1220,777,0.637,1600,852,0.534,8790,4817,0.548,761,874,1.15
2014-01-27,4000,1891,0.473,1980,1085,0.548,1230,739,0.599,1590,797,0.502,8800,4512,0.513,780,790,1.01
2014-02-03,3990,1728,0.433,1980,1016,0.513,1230,690,0.561,1590,736,0.463,8800,4170,0.474,778,727,0.93
2014-02-10,3990,1581,0.396,1980,948,0.479,1230,636,0.517,1590,685,0.431,8790,3850,0.438,851,804,0.94
2014-02-17,3990,1417,0.355,1980,875,0.442,1230,577,0.469,1590,655,0.412,8790,3524,0.401,793,952,1.2
2014-02-24,3990,1294,0.324,1980,808,0.408,1230,517,0.42,1590,623,0.392,8790,3242,0.369,798,762,0.95
2014-03-03,3990,1158,0.29,1980,728,0.368,1230,462,0.376,1590,569,0.358,8790,2917,0.332,830,755,0.91
2014-03-10,3990,1034,0.259,1980,646,0.326,1230,404,0.328,1590,507,0.319,8780,2591,0.295,798,679,0.85
2014-03-17,4000,940,0.235,1980,588,0.297,1230,369,0.3,1590,486,0.306,8790,2383,0.271,837,617,0.74
2014-03-24,3990,870,0.218,1980,546,0.276,1230,356,0.289,1590,477,0.3,8790,2249,0.256,928,867,0.93
2014-03-31,3990,706,0.177,1980,443,0.224,1230,309,0.251,1590,406,0.255,8790,1864,0.212,951,706,0.74
2014-04-07,3990,603,0.151,1980,370,0.187,1230,281,0.228,1590,374,0.235,8800,1628,0.185,978,686,0.7
2014-04-14,3980,514,0.129,1980,352,0.178,1230,279,0.227,1590,370,0.233,8810,1515,0.172,1020,797,0.78
2014-04-21,4010,453,0.113,1980,339,0.171,1230,268,0.218,1590,335,0.211,8770,1395,0.159,1039,644,0.62
2014-04-28,4000,416,0.104,1980,331,0.167,1230,265,0.215,1590,365,0.23,8770,1377,0.157,1080,867,0.8
2014-05-05,4010,385,0.096,1980,346,0.175,1230,279,0.227,1590,395,0.248,8780,1405,0.16,1142,1226,1.07
2014-05-12,4010,365,0.091,1980,389,0.196,1230,303,0.246,1590,438,0.275,8790,1495,0.17,1225,1073,0.88
2014-05-19,3990,331,0.083,1980,387,0.195,1230,308,0.25,1590,447,0.281,8820,1473,0.167,1291,1023,0.79
2014-05-26,3980,362,0.091,1980,506,0.256,1230,378,0.307,1590,503,0.316,8790,1749,0.199,1305,1175,0.9
2014-06-02,3980,386,0.097,1980,607,0.307,1230,443,0.36,1590,532,0.335,8790,1968,0.224,1408,1030,0.73
2014-06-09,4010,477,0.119,1980,733,0.37,1230,515,0.419,1590,580,0.365,8800,2305,0.262,1469,867,0.59
2014-06-16,4000,776,0.194,1980,960,0.485,1230,650,0.528,1590,708,0.445,8790,3094,0.352,1514,980,0.65
2014-06-23,4000,956,0.239,1980,1050,0.53,1230,698,0.567,1590,731,0.46,8790,3435,0.391,1515,755,0.5
2014-06-30,3990,1166,0.292,1980,1198,0.605,1230,793,0.645,1590,792,0.498,8800,3949,0.449,1507,1204,0.8
2014-07-07,4000,1356,0.339,1980,1307,0.66,1230,855,0.695,1590,843,0.53,8790,4361,0.496,1457,1277,0.88
2014-07-14,3990,1545,0.387,1980,1423,0.719,1230,923,0.75,1590,967,0.608,8800,4858,0.552,1420,2126,1.5
2014-07-21,4000,1783,0.446,1980,1497,0.756,1230,961,0.781,1590,1013,0.637,8800,5254,0.597,1405,1798,1.28
2014-07-28,4000,2095,0.524,1980,1588,0.802,1230,994,0.808,1590,1134,0.713,8790,5811,0.661,1331,2118,1.59
2014-08-04,4000,2409,0.603,1980,1663,0.84,1230,1046,0.85,1590,1267,0.797,8790,6385,0.726,1247,2182,1.75
2014-08-11,3990,2680,0.671,1980,1744,0.881,1230,1067,0.867,1590,1317,0.828,8800,6808,0.774,1254,2126,1.7
2014-08-18,4000,2926,0.732,1980,1800,0.909,1230,1092,0.888,1590,1353,0.851,8800,7171,0.815,1186,1403,1.18
2014-08-25,4000,3062,0.766,1980,1768,0.893,1230,1074,0.873,1590,1319,0.83,8800,7223,0.821,1184,1167,0.99
2014-09-01,4000,3265,0.817,1980,1753,0.885,1230,1068,0.868,1590,1370,0.862,8800,7456,0.847,1147,1746,1.52
2014-09-08,3990,3383,0.847,1980,1727,0.872,1230,1056,0.859,1590,1357,0.853,8800,7523,0.855,1047,1138,1.09
2014-09-15,4000,3492,0.874,1980,1721,0.869,1230,1042,0.847,1590,1326,0.834,8800,7581,0.861,1024,1001,0.98
2014-09-22,3990,3563,0.892,1980,1707,0.862,1230,1032,0.839,1590,1281,0.806,8800,7583,0.862,981,1152,1.17
2014-09-29,4000,3565,0.892,1980,1692,0.855,1230,1019,0.828,1590,1269,0.798,8800,7545,0.857,972,918,0.94
2014-10-06,4000,3529,0.883,1980,1663,0.84,1230,999,0.812,1590,1220,0.767,8800,7411,0.842,884,830,0.94
2014-10-13,4000,3533,0.883,1980,1701,0.859,1230,1028,0.836,1590,1195,0.752,8800,7457,0.847,885,769,0.87
2014-10-20,4000,3566,0.892,1980,1798,0.908,1230,1086,0.883,1590,1221,0.768,8800,7671,0.872,847,735,0.87
2014-10-27,4000,3547,0.887,1980,1777,0.897,1230,1057,0.859,1590,1226,0.771,8800,7607,0.864,805,939,1.17
2014-11-03,4000,3470,0.868,1980,1770,0.894,1230,1013,0.824,1590,1176,0.74,8800,7429,0.844,799,796,1
2014-11-10,4000,3366,0.842,1980,1780,0.899,1230,1030,0.837,1590,1150,0.723,8790,7326,0.833,791,932,1.18
2014-11-17,4000,3285,0.821,1980,1803,0.911,1230,1046,0.85,1590,1158,0.728,8800,7292,0.829,865,1354,1.57
2014-11-24,4000,3165,0.791,1980,1748,0.883,1230,1016,0.826,1590,1133,0.713,8790,7062,0.803,842,987,1.17
2014-12-01,4000,3054,0.764,1980,1692,0.855,1230,980,0.797,1590,1106,0.696,8800,6832,0.776,824,857,1.04
2014-12-08,4000,2838,0.71,1980,1573,0.794,1230,946,0.769,1590,1024,0.644,8800,6381,0.725,831,682,0.82
2014-12-15,4000,2634,0.659,1980,1463,0.739,1230,879,0.715,1590,929,0.584,8800,5905,0.671,812,615,0.76
2014-12-22,4000,2518,0.63,1980,1392,0.703,1230,827,0.672,1590,909,0.572,8790,5646,0.642,833,817,0.98
2014-12-29,4000,2468,0.617,1980,1376,0.695,1230,798,0.649,1590,926,0.582,8800,5568,0.633,803,648,0.81
2015-01-05,4000,2365,0.591,1980,1327,0.67,1240,756,0.612,1590,920,0.579,8800,5368,0.61,778,1229,1.58
2015-01-12,4000,2241,0.56,1980,1247,0.63,1240,708,0.573,1590,913,0.574,8810,5109,0.58,770,1208,1.57
2015-01-19,4000,2095,0.524,1980,1156,0.584,1230,663,0.537,1590,890,0.56,8800,4804,0.546,764,1117,1.46
2015-01-26,4000,1857,0.464,1980,1017,0.514,1230,594,0.481,1590,818,0.514,8800,4286,0.487,786,864,1.1
2015-02-02,4000,1657,0.414,1980,910,0.46,1230,532,0.431,1590,780,0.491,8800,3879,0.441,760,823,1.08
2015-02-09,4000,1380,0.345,1980,774,0.391,1240,460,0.372,1590,718,0.452,8810,3332,0.378,858,668,0.78
2015-02-16,4000,1160,0.29,1980,665,0.336,1240,398,0.322,1590,679,0.427,8790,2902,0.33,802,648,0.81
2015-02-23,4000,960,0.24,1980,557,0.281,1240,339,0.274,1590,635,0.399,8800,2491,0.283,813,648,0.8
2015-03-02,3990,794,0.199,1980,458,0.231,1240,289,0.234,1590,600,0.377,8810,2141,0.243,824,1242,1.51
2015-03-09,4010,669,0.167,1980,394,0.199,1240,246,0.199,1590,582,0.366,8800,1891,0.215,803,871,1.08
2015-03-16,4010,577,0.144,1980,346,0.175,1240,209,0.169,1590,539,0.339,8790,1671,0.19,840,783,0.93
2015-03-23,4000,496,0.124,1980,293,0.148,1230,176,0.143,1590,489,0.308,8810,1454,0.165,923,823,0.89
2015-03-30,3980,410,0.103,1980,253,0.128,1230,148,0.12,1590,441,0.277,8820,1252,0.142,950,1397,1.47
2015-04-06,3990,367,0.092,1970,219,0.111,1230,134,0.109,1590,452,0.284,8810,1172,0.133,972,1464,1.51
2015-04-13,3980,322,0.081,1970,207,0.105,1240,110,0.089,1590,418,0.263,8810,1057,0.12,1009,1003,0.99
2015-04-20,3990,291,0.073,1970,199,0.101,1230,107,0.087,1590,432,0.272,8790,1029,0.117,1034,1036,1
2015-04-27,4010,273,0.068,1980,222,0.112,1230,117,0.095,1590,443,0.279,8790,1055,0.12,1079,1046,0.97
2015-05-04,3970,290,0.073,1980,239,0.121,1240,141,0.114,1590,520,0.327,8810,1190,0.135,1115,2549,2.29
2015-05-11,3980,418,0.105,1980,355,0.179,1240,219,0.177,1590,612,0.385,8810,1604,0.182,1183,1999,1.69
2015-05-18,4000,488,0.122,1980,504,0.255,1240,313,0.253,1590,639,0.402,8800,1944,0.221,1253,1881,1.5
2015-05-25,4000,500,0.125,1980,603,0.305,1240,378,0.306,1590,608,0.382,8810,2089,0.237,1314,1476,1.12
2015-06-01,3990,554,0.139,1980,660,0.333,1240,420,0.34,1590,609,0.383,8800,2243,0.255,1393,1177,0.84
2015-06-08,4010,789,0.197,1980,841,0.425,1230,538,0.436,1590,681,0.428,8790,2849,0.324,1469,1399,0.95
2015-06-15,4000,1067,0.267,1980,1023,0.517,1230,659,0.534,1590,736,0.463,8800,3485,0.396,1513,1936,1.28
2015-06-22,3990,1282,0.321,1980,1120,0.566,1240,749,0.606,1590,823,0.518,8810,3974,0.451,1513,1558,1.03
2015-06-29,4000,1403,0.351,1980,1172,0.592,1240,788,0.638,1590,838,0.527,8810,4201,0.477,1498,1270,0.85
2015-07-06,4000,1632,0.408,1980,1232,0.622,1240,833,0.674,1610,864,0.538,8820,4561,0.517,1457,1004,0.69
2015-07-13,4000,1926,0.482,1980,1282,0.647,1230,853,0.691,1600,919,0.573,8810,4980,0.565,1426,912,0.64
2015-07-20,4000,2164,0.541,1980,1279,0.646,1240,850,0.688,1600,935,0.583,8820,5228,0.593,1419,837,0.59
2015-07-27,4000,2428,0.607,1980,1291,0.652,1230,847,0.686,1600,1022,0.637,8810,5588,0.634,1354,793,0.59
2015-08-03,4000,2711,0.678,1980,1350,0.682,1230,873,0.707,1600,1118,0.697,8820,6052,0.686,1237,705,0.57
2015-08-10,4000,2967,0.742,1980,1387,0.701,1230,884,0.716,1610,1174,0.731,8820,6412,0.727,1241,695,0.56
2015-08-17,4000,3179,0.795,1980,1424,0.719,1230,910,0.737,1610,1251,0.779,8820,6764,0.767,1199,787,0.66
2015-08-24,4000,3208,0.802,1980,1474,0.744,1240,933,0.755,1610,1286,0.801,8820,6901,0.782,1202,725,0.6
2015-08-31,4000,3389,0.847,1980,1537,0.776,1240,987,0.799,1610,1310,0.816,8820,7223,0.819,1143,628,0.55
2015-09-07,4000,3445,0.861,1980,1562,0.789,1240,977,0.791,1600,1306,0.814,8810,7290,0.827,1066,575,0.54
2015-09-14,4000,3445,0.861,1980,1589,0.803,1240,981,0.794,1610,1283,0.799,8820,7298,0.827,1024,557,0.54
2015-09-21,4000,3526,0.882,1980,1727,0.872,1240,1134,0.918,1610,1360,0.847,8820,7747,0.878,964,682,0.71
2015-09-28,4000,3485,0.871,1980,1736,0.877,1230,1127,0.913,1610,1334,0.831,8820,7682,0.871,962,656,0.68
2015-10-05,4000,3436,0.859,1980,1723,0.87,1240,1128,0.913,1600,1287,0.802,8820,7574,0.859,892,573,0.64
2015-10-12,4000,3392,0.848,1980,1726,0.872,1230,1109,0.898,1610,1273,0.793,8820,7500,0.85,891,583,0.65
2015-10-19,4000,3247,0.812,1980,1680,0.848,1240,1075,0.87,1600,1197,0.746,8820,7199,0.816,851,707,0.83
2015-10-26,4000,3120,0.78,1980,1625,0.821,1240,1023,0.828,1610,1114,0.694,8820,6882,0.78,816,520,0.64
2015-11-02,4000,2967,0.742,1980,1580,0.798,1230,978,0.792,1610,1052,0.655,8820,6577,0.746,785,503,0.64
2015-11-09,4000,2846,0.712,1980,1539,0.777,1240,928,0.751,1610,1013,0.631,8820,6326,0.717,796,494,0.62
2015-11-16,4000,2722,0.681,1980,1475,0.745,1240,876,0.709,1610,957,0.596,8820,6030,0.684,846,456,0.54
2015-11-23,4000,2597,0.649,1980,1401,0.708,1240,828,0.67,1600,945,0.589,8820,5771,0.654,858,757,0.88
2015-11-30,4000,2380,0.595,1980,1266,0.639,1240,750,0.607,1610,838,0.522,8830,5234,0.593,819,696,0.85
2015-12-07,4000,2183,0.546,1980,1160,0.586,1240,682,0.552,1610,785,0.489,8830,4810,0.545,815,611,0.75
2015-12-14,4000,2018,0.505,1980,1078,0.544,1240,640,0.518,1610,729,0.454,8820,4465,0.506,822,546,0.66
2015-12-21,4000,1859,0.465,1980,1017,0.514,1230,596,0.483,1610,697,0.434,8810,4169,0.473,829,537,0.65
2015-12-28,4000,1808,0.452,1980,1023,0.517,1240,581,0.47,1610,689,0.429,8820,4101,0.465,792,474,0.6
2016-01-04,4000,1763,0.441,1980,1026,0.518,1230,564,0.457,1620,699,0.431,8830,4052,0.459,788,682,0.87
2016-01-11,4000,1694,0.424,1980,1023,0.517,1230,538,0.436,1620,711,0.439,8830,3966,0.449,753,1664,2.21
2016-01-18,4000,1623,0.406,1980,996,0.503,1230,501,0.406,1620,703,0.434,8830,3823,0.433,766,866,1.13
2016-01-25,4000,1463,0.366,1980,907,0.458,1230,449,0.364,1620,613,0.378,8850,3432,0.388,789,642,0.81
2016-02-01,4000,1372,0.343,1980,853,0.431,1240,420,0.34,1620,599,0.37,8840,3244,0.367,759,1968,2.59
2016-02-08,4000,1289,0.322,1980,795,0.402,1230,407,0.33,1620,584,0.36,8840,3075,0.348,826,1173,1.42
2016-02-15,4000,1181,0.295,1980,730,0.369,1240,376,0.304,1620,560,0.346,8840,2847,0.322,825,1305,1.58
2016-02-22,3990,1058,0.265,1980,642,0.324,1230,338,0.274,1620,519,0.32,8850,2557,0.289,815,1133,1.39
2016-02-29,4000,980,0.245,1980,600,0.303,1230,311,0.252,1620,506,0.312,8850,2397,0.271,704,998,1.42
2016-03-07,4000,864,0.216,1980,544,0.275,1240,273,0.221,1620,458,0.283,8840,2139,0.242,808,1122,1.39
2016-03-14,4010,737,0.184,1980,497,0.251,1230,223,0.181,1620,412,0.254,8820,1869,0.212,837,808,0.97
2016-03-21,3990,611,0.153,1980,427,0.216,1240,194,0.157,1620,372,0.23,8810,1604,0.182,913,702,0.77
2016-03-28,3990,527,0.132,1980,391,0.197,1230,169,0.137,1620,366,0.226,8860,1453,0.164,973,634,0.65
2016-04-04,4000,448,0.112,1980,376,0.19,1240,161,0.13,1600,388,0.242,8860,1373,0.155,953,838,0.88
2016-04-11,4010,397,0.099,1980,360,0.182,1230,169,0.137,1600,398,0.248,8830,1324,0.15,1033,874,0.85
2016-04-18,3980,342,0.086,1980,374,0.189,1230,175,0.142,1600,422,0.263,8810,1313,0.149,1031,1602,1.55
2016-04-25,4010,309,0.077,1980,379,0.191,1240,178,0.144,1600,449,0.28,8830,1315,0.149,1068,1452,1.36
2016-05-02,4000,248,0.062,1980,333,0.168,1230,149,0.121,1600,423,0.264,8800,1153,0.131,1094,1418,1.3
2016-05-09,3960,222,0.056,1980,311,0.157,1230,139,0.113,1600,451,0.281,8840,1123,0.127,1174,1074,0.91
2016-05-16,4000,216,0.054,1980,328,0.166,1230,159,0.129,1600,528,0.329,8790,1231,0.14,1248,2094,1.68
2016-05-23,4020,233,0.058,1980,341,0.172,1230,165,0.134,1610,530,0.33,8810,1269,0.144,1329,1523,1.15
2016-05-30,4000,292,0.073,1980,468,0.236,1240,240,0.194,1600,597,0.372,8820,1597,0.181,1361,1981,1.46
2016-06-06,4010,381,0.095,1980,612,0.309,1240,329,0.266,1610,681,0.424,8820,2003,0.227,1419,1946,1.37
2016-06-13,4000,560,0.14,1980,770,0.389,1230,406,0.329,1600,768,0.479,8820,2504,0.284,1514,2181,1.44
2016-06-20,3990,675,0.169,1980,946,0.478,1230,527,0.427,1600,847,0.528,8810,2995,0.34,1521,2508,1.65
2016-06-27,4000,983,0.246,1980,1105,0.558,1240,620,0.502,1610,936,0.583,8820,3644,0.413,1509,2294,1.52
2016-07-04,4000,1348,0.337,1980,1232,0.622,1240,688,0.557,1600,1009,0.629,8820,4277,0.485,1461,1809,1.24
2016-07-11,4000,1703,0.426,1980,1322,0.668,1240,740,0.599,1610,1068,0.665,8820,4833,0.548,1460,1428,0.98
2016-07-18,4000,1992,0.498,1980,1412,0.713,1240,793,0.642,1610,1148,0.715,8820,5345,0.606,1454,1627,1.12
2016-07-25,4000,2279,0.57,1980,1448,0.731,1230,810,0.656,1600,1133,0.706,8820,5670,0.643,1380,1406,1.02
2016-08-01,4000,2584,0.646,1980,1487,0.751,1240,824,0.667,1600,1163,0.725,8820,6058,0.687,1257,1333,1.06
2016-08-08,4000,2871,0.718,1980,1568,0.792,1240,850,0.688,1610,1251,0.779,8830,6540,0.741,1243,1536,1.24
2016-08-15,4000,3075,0.769,1980,1601,0.809,1240,872,0.706,1600,1271,0.792,8820,6819,0.773,1220,1154,0.95
2016-08-22,4000,3271,0.818,1980,1634,0.825,1240,893,0.723,1600,1314,0.819,8820,7112,0.806,1221,1071,0.88
2016-08-29,4000,3470,0.868,1980,1633,0.825,1240,909,0.736,1600,1324,0.825,8820,7336,0.832,1151,972,0.84
2016-09-05,4000,3539,0.885,1980,1626,0.821,1240,908,0.735,1610,1312,0.817,8820,7385,0.837,1099,940,0.86
2016-09-12,4000,3608,0.902,1980,1626,0.821,1240,914,0.74,1610,1376,0.857,8820,7524,0.853,1039,898,0.86
2016-09-19,4000,3577,0.894,1980,1626,0.821,1230,925,0.749,1610,1363,0.849,8820,7491,0.849,984,802,0.82
2016-09-26,4000,3541,0.885,1980,1611,0.814,1230,905,0.733,1600,1327,0.827,8820,7384,0.837,967,672,0.69
2016-10-03,4000,3497,0.874,1980,1593,0.805,1240,884,0.713,1600,1234,0.769,8820,7208,0.817,914,594,0.65
2016-10-10,4000,3459,0.865,1980,1555,0.785,1240,864,0.697,1600,1205,0.751,8820,7083,0.803,911,565,0.62
2016-10-17,4000,3358,0.84,1980,1531,0.773,1240,850,0.685,1610,1167,0.727,8820,6906,0.783,862,502,0.58
2016-10-24,4000,3245,0.811,1980,1491,0.753,1240,818,0.66,1600,1134,0.707,8820,6688,0.758,808,513,0.63
2016-10-31,4000,3194,0.799,1980,1491,0.753,1240,808,0.652,1600,1157,0.721,8820,6650,0.754,801,626,0.78
2016-11-07,4000,3139,0.785,1980,1495,0.755,1240,799,0.644,1600,1171,0.73,8830,6604,0.748,791,790,1
2016-11-14,4000,3050,0.763,1980,1463,0.739,1240,763,0.615,1610,1127,0.702,8820,6403,0.726,816,839,1.03
2016-11-21,4000,2954,0.739,1980,1437,0.726,1240,747,0.602,1600,1136,0.708,8820,6274,0.711,853,1004,1.18
2016-11-28,4000,2909,0.727,1980,1436,0.725,1240,779,0.628,1600,1133,0.706,8830,6257,0.709,836,674,0.81
2016-12-05,4000,2736,0.684,1980,1373,0.693,1240,745,0.601,1610,1119,0.697,8820,5973,0.677,810,644,0.8
2016-12-12,4000,2572,0.643,1980,1284,0.648,1240,679,0.548,1610,1061,0.661,8830,5596,0.634,843,502,0.6
2016-12-19,4000,2356,0.589,1980,1152,0.582,1240,636,0.513,1600,940,0.586,8830,5084,0.576,835,469,0.56
2016-12-26,4000,2170,0.543,1980,1060,0.535,1240,577,0.465,1610,870,0.542,8820,4677,0.53,794,477,0.6
2017-01-02,4000,2042,0.511,1980,1028,0.519,1240,548,0.442,1610,848,0.528,8830,4466,0.506,783,425,0.54
2017-01-09,4000,1820,0.455,1980,939,0.474,1240,503,0.406,1600,802,0.5,8820,4064,0.461,766,465,0.61
2017-01-16,4000,1572,0.393,1980,816,0.412,1240,444,0.358,1600,712,0.444,8820,3544,0.402,785,449,0.57
2017-01-23,3990,1290,0.323,1980,660,0.333,1240,376,0.303,1610,602,0.375,8820,2928,0.332,752,438,0.58
2017-01-30,4000,1060,0.265,1980,520,0.263,1240,318,0.256,1610,535,0.333,8820,2433,0.276,761,404,0.53
2017-02-06,4030,960,0.238,1980,488,0.246,1240,288,0.232,1610,549,0.342,8860,2285,0.258,836,727,0.87
2017-02-13,4030,847,0.21,1980,440,0.222,1240,255,0.206,1600,529,0.33,8850,2071,0.234,828,552,0.67
2017-02-20,4030,754,0.187,1980,413,0.209,1240,234,0.189,1610,509,0.317,8840,1910,0.216,796,527,0.66
2017-02-27,4030,685,0.17,1980,374,0.189,1240,212,0.171,1600,499,0.311,8850,1770,0.2,808,604,0.75
2017-03-06,4020,607,0.151,1980,343,0.173,1240,191,0.154,1610,506,0.315,8850,1647,0.186,814,932,1.14
2017-03-13,4020,543,0.135,1980,303,0.153,1240,174,0.14,1610,541,0.337,8870,1561,0.176,854,1239,1.45
2017-03-20,4040,485,0.12,1990,270,0.136,1240,160,0.129,1610,546,0.34,8850,1461,0.165,882,1096,1.24
2017-03-27,4040,416,0.103,1980,228,0.115,1240,165,0.133,1600,505,0.315,8880,1314,0.148,943,931,0.99
2017-04-03,4050,352,0.087,1980,224,0.113,1240,170,0.137,1610,477,0.297,8860,1223,0.138,954,848,0.89
2017-04-10,4010,353,0.088,1990,185,0.093,1240,170,0.137,1610,455,0.283,8880,1163,0.131,1042,635,0.61
2017-04-17,4050,336,0.083,1970,203,0.103,1240,178,0.144,1600,478,0.298,8850,1195,0.135,1031,741,0.72
2017-04-24,4010,273,0.068,1990,189,0.095,1240,153,0.123,1610,432,0.269,8870,1047,0.118,1072,672,0.63
2017-05-01,4060,207,0.051,1980,178,0.09,1240,152,0.123,1610,405,0.252,8890,942,0.106,1100,1171,1.06
2017-05-08,4070,175,0.043,1980,170,0.086,1240,135,0.109,1600,399,0.249,8880,879,0.099,1172,1431,1.22
2017-05-15,4060,191,0.047,1970,205,0.104,1240,147,0.119,1600,439,0.274,8850,982,0.111,1271,1217,0.96
2017-05-22,4030,270,0.067,1970,302,0.153,1240,209,0.169,1600,526,0.328,8830,1307,0.148,1336,1115,0.83
2017-05-29,4050,445,0.11,1980,428,0.216,1240,302,0.244,1610,620,0.386,8840,1795,0.203,1341,1029,0.77
2017-06-05,4030,669,0.166,1980,604,0.305,1240,417,0.336,1610,740,0.461,8870,2430,0.274,1426,1371,0.96
2017-06-12,4040,852,0.211,1980,771,0.389,1240,521,0.42,1600,842,0.525,8860,2986,0.337,1528,989,0.65
2017-06-19,4030,1212,0.301,1980,891,0.45,1240,610,0.492,1610,922,0.574,8840,3635,0.411,1529,980,0.64
2017-06-26,4030,1558,0.387,1980,895,0.452,1240,657,0.53,1610,973,0.606,8860,4083,0.461,1517,910,0.6
2017-07-03,4000,1767,0.442,1980,1090,0.551,1240,765,0.619,1590,1031,0.648,8860,4653,0.525,1460,1025,0.7
2017-07-10,4000,1953,0.488,1980,1131,0.571,1240,777,0.629,1590,1018,0.64,8850,4879,0.551,1443,998,0.69
2017-07-17,4000,2172,0.543,1980,1184,0.598,1230,780,0.632,1590,1070,0.673,8850,5206,0.588,1434,835,0.58
2017-07-24,4000,2398,0.599,1980,1230,0.621,1230,789,0.639,1590,1084,0.682,8860,5501,0.621,1376,806,0.59
2017-07-31,4000,2582,0.645,1980,1286,0.649,1230,794,0.643,1590,1180,0.742,8850,5842,0.66,1282,1119,0.87
2017-08-07,4000,2850,0.712,1980,1337,0.675,1240,809,0.655,1590,1243,0.782,8850,6239,0.705,1220,899,0.74
2017-08-14,4000,3010,0.752,1980,1440,0.727,1240,851,0.689,1590,1300,0.818,8860,6601,0.745,1226,1150,0.94
2017-08-21,4010,3193,0.797,1980,1506,0.761,1240,867,0.702,1590,1335,0.84,8860,6901,0.779,1172,961,0.82
2017-08-28,4000,3336,0.833,1980,1536,0.776,1240,855,0.692,1590,1316,0.828,8860,7043,0.795,1150,792,0.69
2017-09-04,4000,3496,0.873,1980,1633,0.825,1240,872,0.706,1590,1378,0.867,8860,7379,0.833,1085,1397,1.29
2017-09-11,4000,3547,0.886,1980,1707,0.862,1240,887,0.718,1590,1396,0.878,8860,7537,0.851,1039,1073,1.03
2017-09-18,4000,3564,0.89,1980,1773,0.895,1240,893,0.723,1590,1388,0.873,8860,7618,0.86,1006,1058,1.05
2017-09-25,4010,3549,0.886,1980,1794,0.906,1240,876,0.709,1590,1366,0.859,8850,7585,0.857,954,930,0.97
2017-10-02,4030,3553,0.881,1980,1792,0.905,1230,839,0.682,1580,1335,0.845,8840,7519,0.851,913,833,0.91
2017-10-09,4040,3589,0.889,1980,1800,0.909,1230,825,0.671,1580,1355,0.858,8840,7569,0.856,895,1014,1.13
2017-10-16,4030,3565,0.884,1980,1783,0.901,1230,791,0.643,1580,1348,0.853,8840,7487,0.847,865,760,0.88
2017-10-23,4030,3538,0.877,1980,1757,0.887,1230,751,0.611,1580,1342,0.849,8840,7388,0.836,813,669,0.82
2017-10-30,4030,3445,0.854,1980,1710,0.864,1230,700,0.569,1580,1328,0.841,8840,7183,0.813,823,669,0.81
2017-11-06,4030,3348,0.83,1980,1697,0.857,1230,663,0.539,1580,1342,0.849,8830,7050,0.798,800,852,1.07
2017-11-13,4040,3184,0.789,1980,1624,0.82,1230,603,0.49,1580,1284,0.813,8840,6695,0.757,810,1562,1.93
2017-11-20,4030,2973,0.737,1980,1551,0.783,1230,576,0.468,1580,1221,0.773,8840,6321,0.715,860,922,1.07
2017-11-27,4030,2808,0.696,1980,1436,0.725,1230,523,0.425,1580,1246,0.789,8840,6013,0.68,835,870,1.04
2017-12-04,4030,2578,0.639,1980,1324,0.669,1230,497,0.404,1580,1161,0.735,8840,5560,0.629,805,741,0.92
2017-12-11,4030,2319,0.575,1980,1218,0.615,1230,488,0.397,1580,1004,0.635,8840,5029,0.569,837,1455,1.74
2017-12-18,4030,2142,0.531,1980,1113,0.562,1230,464,0.377,1580,958,0.606,8840,4677,0.529,832,1349,1.62
2017-12-25,4040,1983,0.491,1980,1034,0.522,1230,428,0.348,1580,922,0.584,8840,4367,0.494,807,980,1.21
2018-01-01,4030,1934,0.48,1980,1040,0.525,1230,432,0.35,1590,955,0.599,8850,4361,0.493,781,1285,1.65
2018-01-08,4030,1923,0.477,1980,1042,0.526,1240,435,0.352,1600,997,0.625,8850,4397,0.497,779,1927,2.47
2018-01-15,4030,1871,0.464,1980,953,0.481,1240,403,0.326,1590,947,0.594,8840,4174,0.472,804,1280,1.59
